Unique identifier	Getty AAT type	skos:prefLabel @en	skos:broader	rdf:type (skos:)	skos:member	skos:altLabel @en	skos:editorialNote @en	dc:creator	dc:contributor	skos:historyNote @en	skos:note @en (getty)	skos:definition @en	skos:example @en	external concept (getty)	type of match (getty) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	external concept (wikidata)	type of match (wikidata) (exactMatch, closeMatch, broadMatch, narrowMatch, relatedMatch)	dct:source	skos:related
stylesStreetArt	concept	styles (street art)	stylesGraffiti	Concept		street art style	"""Styles"" in street art, particularly in relation to graffiti, refer to the distinct visual techniques and aesthetic approaches that differentiate one graffitis's work from another's. These styles can range from abstract, where graffitists use shapes, colours, and forms to create non-representational works, to photorealistic, where graffitists meticulously render their subjects to closely resemble real-life imagery. Importantly, these styles often focus on visual elements and do not necessarily include text or lettering. The choice of style is a reflection of a graffitist's personal expression, their commentary on societal issues, or their interaction with the urban environment, making each piece a unique contribution to the urban visual landscape."	Jona Schlegel $$ Stefan Worgin											
stylesWriting	concept	styles (writing)	stylesGraffiti	Concept		writing style	"""Styles"" in graffiti writing refer to the unique visual characteristics and techniques that distinguish one graffitist's work from another's. This can include elements like letter structure, colour usage, 3D effects, and embellishments. Styles can also reflect broader trends within the graffiti community, such as the shift from simple tags to more complex pieces. Ultimately, a graffitist's style is their visual signature, a way of expressing their individuality within the shared language of graffiti."	Jona Schlegel $$ Stefan Worgin											
subtractiveProcessesAndTechniquesGT	guide term	subtractive processes and techniques <guide term> 	processesAndTechniquesBySpecificTypeGT	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300229471	exactMatch				
surfaceCoveringProcessesAndTechniquesGT	guide term	surface covering processes and techniques <guide term>	additiveAndJoiningProcessesAndTechniquesGT	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300229469	exactMatch				
swirlsMotifs	concept	swirls (motify)	motifs	Concept	design	swirl (motif) $$ swirls $$ swirl	"Swirls, as motifs in graffiti or any other form of visual art, are decorative elements that feature a twisted or spiral pattern. They are often used to add a sense of movement, energy, and dynamism to a design. Swirls can be simple, with a single line spiralling around a central point, or complex, with multiple intertwined spirals creating intricate patterns.
In graffiti, swirls can be used in a variety of ways. They can serve as a background or filler, adding depth and complexity to a piece. They can also be used to outline or highlight other elements of the design, or they can stand alone as a focal point. Swirls can be rendered in a variety of styles, from smooth and flowing to jagged and angular, depending on the artist's intent and the overall aesthetic of the piece."	Jona Schlegel $$ Stefan Worgin											
symbolsGraffiti	concept	graffiti symbol	graffiti	Concept	graffitoClass	symbols (graffiti) $$ symbol (graffiti) $$ graffiti symbols	"""Graffiti symbols"" is a class of graffiti that encompasses a wide range of symbols, signs, or motifs. These elements can stand alone or be incorporated into larger works, and they often convey universally recognised messages or ideas. Examples of graffiti symbols include the anarchy sign, smiley faces, stars, hearts, and even controversial symbols like the swastika.
The use of symbols in graffiti serves various purposes. For some graffitists, these symbols are a form of visual shorthand, allowing them to quickly and efficiently communicate specific ideas or sentiments. For others, the use of universally recognised symbols can be a way to engage a broader audience, as these symbols can be understood by individuals who may not be familiar with the more nuanced aspects of graffiti culture."	Jona Schlegel $$ Stefan Worgin			"""Visible signs (which can include figures, such as personifications, or objects) that stand for something else, often something abstract or invisible."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Symbols’)"			http://vocab.getty.edu/page/aat/300055878 	closeMatch	https://www.wikidata.org/wiki/Q3695082	relatedMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Symbols’, 25 January 2021. http://vocab.getty.edu/page/aat/300055878.	
taggingTechnique	concept	tagging (technique)	surfaceCoveringProcessesAndTechniquesGT	Concept	activity	tagging $$ tagging (activity)	"""Tagging"" is a technique employed by graffitists to create a specific type of graffiti known as a ""tag"". This technique involves the use of a quick, stylised script or signature, often created with a marker or spray paint. The tag serves as a pseudonymous signature or logo for the graffitist, allowing them to mark their presence in a particular location without revealing their true identity. The act of tagging is often seen as one of the most basic forms of graffiti, both in terms of the skill level required and the simplicity of the resulting mark. However, within the graffiti community, the style and uniqueness of a tag can be a source of respect and recognition. A well-executed tag can demonstrate a graffitist's skill, creativity, and individuality.
Tagging is often associated with the act of ""bombing"", where a graffitist aims to create as many tags as possible in a single outing, covering a large area or highly visible locations. This can be seen as a form of territorial marking or a way for the graffitist to gain recognition and ""get up"" in the graffiti community."	Jona Schlegel $$ Stefan Worgin											
tagsGraffiti	concept	tags (graffiti)	writingGraffiti	Concept	graffitoType	tag (graffiti) $$ tag $$ tags	"""Tags (graffiti)"" refers to a specific type of graffiti writing. A tag is essentially the signature or moniker of a graffitist, often stylised in a unique and distinctive way. It is the simplest and most fundamental form of graffiti, and it is typically the first type of graffiti that a graffitist learns to create. Tags are usually created quickly and can be found in a variety of locations throughout urban environments. They are often used by graffitists to mark territory, gain recognition, or participate in the broader graffiti community. While tags may appear simple or even crude to the untrained eye, they can be rich in meaning and style. The design of a tag can convey a great deal of information about the graffitist, including their skill level, their influences, and their place within the graffiti community."	Jona Schlegel $$ Stefan Worgin			"""Stylized forms of graffiti using names or initials as markers. These are considered the most basic form of graffiti art."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Tags (Documents)’)"			http://vocab.getty.edu/page/aat/300410284 	exactMatch	https://www.wikidata.org/wiki/Q17514	relatedMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Tags (Documents)’, 25 January 2021. http://vocab.getty.edu/page/aat/300410284.	
technologyAndRelatedConceptsGT	guide term	technology and related concepts <guide term>	AssociatedConceptsHN	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300056068	exactMatch				
technologyGeneralAssociatedConcept	concept	technology (general associated concept)	technologyAndRelatedConceptsGT	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The general application of science and related disciplines, typically to commercial or industrial objectives, often with the implication of mechanical, electronic, or computerized components."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Technology (General Associated Concept)’)"			http://vocab.getty.edu/page/aat/300056069	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Technology (General Associated Concept)’, 25 January 2021. http://vocab.getty.edu/page/aat/300056069.	
threeDimensional	concept	three-dimensional	formAttributes	Concept			"""Three-dimensional"" is a term used to describe something that has depth in addition to height and width. In the context of graffiti, it does not refer to the creation of a sense of depth or three-dimensionality within a two-dimensional graffito, such as through the use of perspective or shading. Instead, it refers to a physical object or structure that exists in three dimensions. For example, a sculpture or installation created by a graffitist would be considered three-dimensional, as it occupies space in three dimensions. Similarly, a graffito that is carved or etched into a surface, such as through the technique of scratching, could also be considered three-dimensional, as it has a physical depth in addition to its height and width."	Jona Schlegel			"""Having, or appearing to have, the three dimensions of length, width, and height."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Three-Dimensional’)"			http://vocab.getty.edu/page/aat/300010331	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Three-Dimensional’, 25 January 2021. http://vocab.getty.edu/page/aat/300010331.	
throwUpsGraffiti	concept	throw ups (graffiti)	writingGraffiti	Concept	graffitoType	throw up (graffiti) $$ throwie $$ throw-ups $$ throw-up	"""Throw ups"" is a term used in the graffiti community to describe a specific type of graffiti writing. Characterised by their speed of execution and simplicity, throw ups are typically composed of two or three colours and involve a simple outline filled in with a single colour. The letters in a throw up are often rounded and bubbly, which allows for faster creation compared to more complex styles.
The primary purpose of a throw up is not to demonstrate artistic skill or to create a visually complex piece, but rather to quickly mark a large area with the graffitist's handstyle or moniker. As such, throw ups are often associated with quantity over quality, with graffitists aiming to create multiple throw ups in close proximity to each other in order to maximise their visibility and presence in a particular area."	Jona Schlegel $$ Stefan Worgin			"""Graffiti art works produced with spray paint, that spell out the artist's name in rounded letters. Usually these are rendered in two colors, one for the body and another for a contrasting outline. These are intended to cover as much surface area as possible in the shortest amount of time without regard to style or technical proficiency."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Throw-Ups (Graffiti Works)’)"			http://vocab.getty.edu/page/aat/300410271 	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Throw-Ups (Graffiti Works)’, 25 January 2021. http://vocab.getty.edu/page/aat/300410271.	
toysGraffiti	concept	toys (graffiti)	peopleByStateOrConditionGT	Concept	communityTerm	toy (graffiti) $$ toy $$ toys $$  beginner $$ graffiti novice	"""Toys"" is a term used within the graffiti community to refer to beginners or novices in the creation of graffiti. The term is often used in a derogatory manner, indicating a lack of skill, originality, or respect for the established norms and codes of the graffiti community. A graffitist labelled as a ""toy"" is typically seen as lacking the technical ability to execute a well-crafted graffito, or as failing to understand and adhere to the unwritten rules and etiquette of the graffiti world. This might include, for example, tagging over another graffitist's work without permission, or attempting to create complex pieces before mastering the basics of graffiti writing."	Jona Schlegel $$ Stefan Worgin											
underlinesGraffiti	concept	underlines (graffiti)	outlinesGraffiti	Concept	design	underline (graffiti)	"""Underlines"" in the context of graffiti refers to a line or lines that are added beneath a piece, tag, or throw-up. This element can serve various purposes, such as emphasising the graffiti writing, adding an additional layer of style, or creating a sense of grounding or stability for the piece. While underlines can be seen as a component of the overall outline of a graffito, they are distinct in their placement and function. An underline typically extends horizontally beneath the entire piece, tag, or throw-up, and may be straight, wavy, or take on other forms. It can be created in the same colour as the outline or in a contrasting colour to add visual interest."	Jona Schlegel $$ Stefan Worgin								https://www.wikidata.org/wiki/Q1187096	closeMatch		
urbanKnittingsGraffiti	concept	urban knittings (graffiti)	streetArtGraffiti	Concept	graffitoType	urban knitting (graffiti) $$ urban knittings $$ urban knitting $$ yarn bomb $$ yarn bombing $$ kniffiti	"""Urban knittings"", also known as ""yarn bombing"", represent a unique form of graffiti where yarn is used to cover and decorate objects in urban spaces. Unlike traditional graffiti that primarily utilises walls as a canvas, urban knittings are typically found on three-dimensional objects such as trees, lamp posts, benches, and statues.
The process involves creating knitted or crocheted pieces that are then attached to the chosen object, effectively 'dressing' it in yarn. The result is a colourful and tactile form of graffiti that adds a sense of warmth and whimsy to the urban environment. ""Urban knittings"" challenge traditional notions of graffiti, demonstrating the potential for diverse materials and techniques within this form of expression. They highlight the capacity of graffiti to transform and humanise public spaces, and to engage with the community in unexpected and delightful ways."	Jona Schlegel $$ Stefan Worgin			"""Works in public space comprising knitted or crocheted adornments, usually installed without institutional oversight."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Yarn Bombing (Graffiti Art)’)"			http://vocab.getty.edu/page/aat/300410377 	exactMatch	https://www.wikidata.org/wiki/Q579816	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Yarn Bombing (Graffiti Art)’, 25 January 2021. https://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300410377.	
verbalGraffitiGraffiti	concept	verbal graffiti	graffiti	Concept	graffitoClass	verbal graffito 	Verbal graffiti refers to a class of graffiti that primarily focuses on text-based scribbles, which are not stylised. Unlike other forms of graffiti that may incorporate elaborate designs or stylised lettering, verbal graffiti is characterised by its straightforward, text-centric approach. The content of verbal graffiti can vary widely, from personal signatures to messages, statements, or even poetry. Despite its simplicity, verbal graffiti plays a significant role within the graffiti-scape, serving as a direct and accessible means for individuals to express their thoughts, communicate with others, and leave their mark on the public space.	Jona Schlegel $$ Stefan Worgin											
VisualAndVerbalCommunicationHN	hierarchy name	Visual and Verbal Communication <hierarchy name> 	ObjectsF	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""The Visual and Verbal Communication hierarchy contains terms for works, including images and written documents, having the primary and original function to communicate ideas, concepts, or aesthetic experience through visual, verbal, or performance-based media (e.g., ""books;"" ""diptychs;"" ""symphonies (musical works)""). Although almost any artifact can be considered to communicate visually something about its maker, its origin, or its use, this section concerns those items originally produced with the purpose of transmitting an informational, symbolic, or aesthetic message."" (Art & Architecture Thesaurus Full Record Display (Getty Research).  ‘Visual and Verbal Communication (Hierarchy Name)’)"			http://vocab.getty.edu/page/aat/300264552	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Visual and Verbal Communication (Hierarchy Name)’, 25 January 2021. http://vocab.getty.edu/page/aat/300264552.	
visualWorksByFunctionGT	guide term	visual works by function <guide term>	visualWorksWorks	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300191089	exactMatch				
visualWorksByLocationOrContextGT	guide term	visual works by location or context <guide term>	visualWorksWorks	Concept			A guide term used in the Getty AAT to structure the thesaurus more.	Jona Schlegel						http://vocab.getty.edu/page/aat/300191090	exactMatch				
visualWorksWorks	concept	visual works (works) 	VisualAndVerbalCommunicationHN	Concept			This concept is taken from the Getty AAT.	Jona Schlegel			"""Works of art, architecture, and any objects that occupy space, are perceived by the sense of sight, and are created or arranged, rather than naturally occurring. Of special interest are those objects conveying a symbolic or expressive meaning or an aesthetic experience, although visual works are not limited only to such works. Visual works generally exclude the intangible, however, designs for works never constructed may be included. Visual works include pictorial and sculptural works, as well as time-based works such as performance art. They also include utilitarian or ceremonial objects of the type collected or valued by museums, cultures, or individuals. Visual works do not include the performing arts."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Visual Works (Works)’)"			http://vocab.getty.edu/page/aat/300191086	exactMatch			Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Visual Works (Works)’, 25 January 2021. https://www.getty.edu/vow/AATFullDisplay?find=&logic=AND&note=&subjectid=300191086.	
WildstyleWriting	concept	Wildstyle (writing)	stylesWriting	Concept	style		"""Wildstyle"", within the context of graffiti writing, refers to a complex and intricate style of graffiti. Characterised by interlocking letters, a multitude of layers, and often 3D elements, Wildstyle is considered one of the most advanced forms of graffiti writing. It showcases the writer's skill and creativity, often resulting in works that are as visually captivating as they are challenging to decipher. This style is a testament to the depth and complexity of the graffiti writing movement."	Jona Schlegel $$ Stefan Worgin			"""A genre of graffiti art with interlocking, highly stylized and often cryptic lettering."" (Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Wildstyle’)"			http://vocab.getty.edu/page/aat/300410277	exactMatch	https://www.wikidata.org/wiki/Q1810081	exactMatch	Art & Architecture Thesaurus Full Record Display (Getty Research). ‘Wildstyle’, 25 January 2021. http://vocab.getty.edu/page/aat/300410277.	
writersGraffiti	concept	writers (graffiti)	graffitists	Concept	graffitoCreator	writer (graffiti) $$ graffiti writer $$ graffiti writers	"A ""writer"" in the context of graffiti refers to an individual who creates graffiti writings, including tags, pieces, and throw ups. This term is specific to the graffiti writing movement and is used to denote those who participate in this particular form of graffiti expression. Writers are characterised by their focus on text-based graffiti, often involving the use of stylised lettering and signatures, or 'tags'. They may also create larger and more complex works known as 'pieces', or quicker, less detailed works known as 'throw ups'.
The role of a writer extends beyond the physical act of creating graffiti. Writers are also participants in the graffiti culture, using their work to communicate with their peers, mark territory, and express their individuality. They contribute to the richness and diversity of the graffiti-scape, each bringing their unique style and perspective to the medium."	Jona Schlegel $$ Stefan Worgin											writersGraffiti
writingGraffiti	concept	writing (graffiti)	graffiti	Concept	graffitoClass	writings (graffiti)	"""Writing"", within the context of graffiti, refers to a movement that originated in the 1960s on the East Coast of the United States. This movement is characterised by its focus on text-based graffiti, often involving the use of stylised lettering and tags. The writing movement is more than just a type of graffito; it represents a cultural phenomenon that has had a significant impact on the evolution of the graffiti-scape. It incorporates not only the physical act of creating text-based graffiti but also the intangible aspects such as the culture, ethos, and community that surround this practice.
Key elements of the writing movement include styles, pieces, and tags. Styles refer to the unique lettering designs used by graffitists, pieces are larger and more complex works often involving multiple colours and intricate designs, and tags are the simplest form of graffiti, usually consisting of the graffitist's chosen name or signature.
While the writing movement has its roots in the US, it has since spread globally, influencing graffiti practices and cultures around the world. It underscores the power of graffiti as a form of communication and expression, and its capacity to transcend geographical and cultural boundaries."	Jona Schlegel $$ Stefan Worgin											writingGraffiti
